"ID" "CONTEXT" "NKJP" "Pantera" "WMBT" "WCRFT" "Concraft"
1312 "przez dilerów to było przecież no >>cykliście<< też tworzą bo tam też " "subst:pl:nom:m1" "subst:sg:dat:m1" "subst:sg:dat:m1" "subst:sg:dat:m1" "subst:sg:dat:m1"
1387 "zwłoki albo i zwyczajne mają być >>wystrzeliwane<< i znajdować swój wieczny odpoczynek " "ppas:pl:nom:n:imperf:aff" "ppas:pl:nom:m3:imperf:aff" "ppas:pl:nom:f:imperf:aff" "ppas:pl:nom:f:imperf:aff" "ppas:pl:nom:f:imperf:aff"
1408 "bo już cały jest prywatny ? >>:-)<< Może ( ta książka ) " "subst:sg:nom:n" "interp" "interp" "interp" "interp"
1445 "nie mają nadziei : &quot; ziemia >>Ulro<< &quot; , pustynia , jest " "adj:sg:nom:f:pos" "ign" "ign" "subst:sg:nom:f" "subst:sg:nom:n"
1470 "ryzykowne , ale zwykle się opłaca >>:)<< Czy też po prostu jest " "subst:sg:nom:n" "interp" "interp" "interp" "interp"
1477 "Czy też po prostu jest ich >>dużo<< i mają małe wymagania płacowe " "num:pl:nom:m1:rec" "num:pl:nom:n:rec" "num:pl:nom:f:rec" "num:pl:nom:m3:rec" "num:pl:nom:m3:rec"
1499 "a nie na karetkę czekać , >>co<< to pan , wygląda jak " "qub:wok,qub:nwok" "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
1500 "nie na karetkę czekać , co >>to<< pan , wygląda jak Czerwony " "qub:wok,qub:nwok" "subst:sg:nom:n" "pred" "pred" "pred"
1512 "Krzyż ? Pionowe budowle , raz >>mniejsze<< , raz większe , wyrastają " "adj:pl:nom:f:com" "adj:pl:nom:m3:com" "adj:sg:acc:n:com" "adj:sg:acc:n:com" "adj:pl:acc:f:com"
1515 "budowle , raz mniejsze , raz >>większe<< , wyrastają z poziomej ziemi " "adj:pl:nom:f:com" "adj:pl:nom:m3:com" "adj:sg:acc:n:com" "adj:pl:acc:m3:com" "adj:pl:acc:f:com"
1611 "naboje . – trzeba będzie skończyć >>tą<< klisze i . bo tam " "adj:sg:acc:f:pos" "adj:sg:inst:f:pos" "adj:sg:inst:f:pos" "adj:sg:inst:f:pos" "adj:sg:inst:f:pos"
1612 ". – trzeba będzie skończyć tą >>klisze<< i . bo tam jeszcze " "subst:sg:acc:f" "subst:pl:nom:f" "subst:pl:acc:f" "subst:pl:acc:f" "subst:pl:acc:f"
1619 "i . bo tam jeszcze są >>te<< z z parady . . " "adj:pl:nom:n:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos"
1626 "z z parady . . a >>to<< to już pan chyba zrobił " "subst:sg:acc:n" "pred" "pred" "qub:wok,qub:nwok" "subst:sg:nom:n"
1715 ", wszelako mój podeszły wiek stwarza >>skromne<< na to szanse . Sam " "adj:pl:acc:f:pos" "adj:pl:nom:m3:pos" "adj:sg:acc:n:pos" "adj:sg:acc:n:pos" "adj:sg:acc:n:pos"
1742 "noża - narzędzia zbrodni obrazuje obsesję >>Rogożyna<< , trzykrotny powrót sytuacji wyjściowej " "subst:sg:gen:m1" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f"
1857 ", odwilże i zaognienia w stosunkach >>wewnętrznych<< i międzypaństwowych . Nie upieram " "adj:pl:loc:m3:pos" "adj:pl:loc:n:pos" "adj:pl:loc:n:pos" "adj:pl:loc:n:pos" "adj:pl:loc:n:pos"
1881 "osobowości otwartej . Albana , skąd >>rozpowszechnił<< się po całym świecie . " "praet:sg:m3:perf:agl,praet:sg:m3:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl"
1949 "tekstem . - Jemu tam wsio >>rawno<< - powiedział pan Longin wydmuchując " "adj:sg:nom:n:pos" "ign" "ign" "subst:sg:nom:f" "adja"
1983 "filmy są obecne w świadomości zarówno >>starszego<< ( &quot; Popiół i diament " "adj:sg:gen:n:com" "adj:sg:acc:m1:com" "adj:sg:gen:m3:com" "adj:sg:gen:m3:com" "adj:sg:acc:m1:com"
2017 "50 . Ponadto podkreślają oni - >>nonsensowność<< koncepcji teoretycznych , bazujących na " "subst:sg:acc:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f"
2181 "zupełnie prywatnym , jak na przykład >>ślub<< swego studenta . - Oto " "subst:sg:nom:m3" "subst:sg:acc:m3" "subst:sg:acc:m3" "subst:sg:acc:m3" "impt:sg:sec:imperf"
2204 "&quot; Obdarzając innych wolnością , sami >>stali<< by śmy się wolni &quot; " "praet:pl:m1:perf:nagl,praet:pl:m1:perf:agl" "praet:pl:m1:imperf:nagl,praet:pl:m1:imperf:agl" "praet:pl:m1:imperf:nagl,praet:pl:m1:imperf:agl" "praet:pl:m1:imperf:nagl,praet:pl:m1:imperf:agl" "praet:pl:m1:imperf:nagl,praet:pl:m1:imperf:agl"
2297 "z dziełem sztuki towarzyszy u młodych >>zubożeniu<< , czy wręcz spaczeniu wyobraźni " "ger:sg:dat:n:perf:aff" "subst:sg:dat:n" "subst:sg:dat:n" "subst:sg:dat:n" "subst:sg:dat:n"
2314 "twórcze wypracowania uczniów szkół podstawowych . >>Santa<< podróżuje w saniach zaprzężonych w " "subst:sg:nom:m1" "burk" "burk" "burk" "burk"
2320 "Santa podróżuje w saniach zaprzężonych w >>4<< pary reniferów i &quot; kiedy " "num:pl:acc:f:congr" "ign" "ign" "adj:sg:loc:f:pos" "num:pl:acc:m3:congr"
2321 "podróżuje w saniach zaprzężonych w 4 >>pary<< reniferów i &quot; kiedy śmieje " "subst:pl:acc:f" "subst:sg:gen:f" "subst:pl:acc:m3" "subst:sg:gen:f" "subst:pl:acc:m3"
2347 "liceach prowadzonych przez Społeczne Towarzystwo Oświatowe >>zdanie<< egzaminu dojrzałości nie należy do " "ger:sg:nom:n:perf:aff" "subst:sg:acc:n" "subst:sg:acc:n" "subst:sg:acc:n" "subst:sg:acc:n"
2353 "zdanie egzaminu dojrzałości nie należy do >>najłatwiejszych<< . W jego materiałach znajdują " "adj:pl:gen:n:sup" "adj:pl:gen:m3:sup" "adj:pl:gen:m1:sup" "adj:pl:gen:m1:sup" "adj:pl:gen:m3:sup"
2375 "ulicy ( Abrahama ) , na >>którym<< widać pochód szybko idący ulicą " "adj:sg:loc:n:pos" "adj:sg:loc:m3:pos" "adj:sg:loc:m3:pos" "adj:sg:loc:m3:pos" "adj:sg:loc:m3:pos"
2399 ", należącego wówczas do zastępcy Redaktora >>Naczelnego<< Ośrodka Gdańskiego Telewizji Polskiej , " "adj:sg:gen:m1:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos"
2424 ", że duch ojca żyje w >>nim<< . Musi więc wrócić do " "ppron3:sg:loc:m1:ter:akc:praep" "ppron3:sg:loc:m3:ter:akc:praep" "ppron3:sg:loc:n:ter:akc:praep" "ppron3:sg:loc:m3:ter:akc:praep" "ppron3:sg:loc:n:ter:akc:praep"
2471 "im plan dalszego postępowania . I >>nic<< więcej . O tym , " "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:gen:n"
2472 "plan dalszego postępowania . I nic >>więcej<< . O tym , że " "num:pl:acc:n:rec" "num:pl:acc:m3:rec" "adv:com" "adv:com" "adv:com"
2482 ", że było też piękno , >>przypomniał<< uczestnikom spotkania recital dwóch bardów " "praet:sg:m3:perf:agl,praet:sg:m3:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl" "praet:sg:m1:perf:agl,praet:sg:m1:perf:nagl"
2494 "antykomunistycznej opozycji : Jacka Kaczmarskiego i >>Julija<< Kima . Wielka Zona była " "subst:sg:gen:m1" "ign" "ign" "subst:sg:nom:f" "subst:sg:acc:m1"
2495 "opozycji : Jacka Kaczmarskiego i Julija >>Kima<< . Wielka Zona była odrażająco " "subst:sg:gen:m1" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "fin:sg:ter:imperf"
2540 "wiarę i praktykę życia chrześcijańskiego , >>promieniujących<< na otoczenie i zaangażowanych w " "pact:pl:loc:f:imperf:aff" "pact:pl:gen:m1:imperf:aff" "pact:pl:gen:n:imperf:aff" "pact:pl:gen:m1:imperf:aff" "pact:pl:gen:m3:imperf:aff"
2544 "chrześcijańskiego , promieniujących na otoczenie i >>zaangażowanych<< w życie parafii . Szczęść " "ppas:pl:loc:f:perf:aff" "ppas:pl:gen:n:perf:aff" "ppas:pl:gen:n:perf:aff" "ppas:pl:acc:m1:perf:aff" "ppas:pl:gen:n:perf:aff"
2547 "na otoczenie i zaangażowanych w życie >>parafii<< . Szczęść Boże ! 15 " "subst:pl:gen:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f"
2556 "Boże ! 15 szkiców podzielonych na >>3<< części : &quot; Filmowiec moralnego " "num:pl:acc:f:congr" "ign" "ign" "adj:sg:loc:f:pos" "adj:sg:loc:f:pos"
2557 "! 15 szkiców podzielonych na 3 >>części<< : &quot; Filmowiec moralnego niepokoju " "subst:pl:acc:f" "subst:sg:gen:f" "subst:pl:acc:f" "subst:sg:loc:f" "subst:sg:loc:f"
2667 "musiał jakoś przyzwyczaić , unikało się >>tylko<< samotnych spacerów w pustych miejscach " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
2725 "Rzeczpospolita Wielu Narodów . Historyczny konflikt >>niemiecko<< - polski przybrał w latach " "adja" "adv:pos" "adv:pos" "adv:pos" "adv:pos"
2732 "- polski przybrał w latach wojny >>wymiary<< eschatologiczne . W Laskach w " "subst:pl:acc:m3" "subst:pl:nom:m3" "subst:pl:nom:m3" "subst:pl:nom:m3" "subst:pl:nom:m3"
2733 "polski przybrał w latach wojny wymiary >>eschatologiczne<< . W Laskach w liturgii " "adj:pl:acc:m3:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos"
2755 "Myślenie i orzekanie o przyszłości - >>którego<< status logiczny jest , jak " "adj:sg:gen:n:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos" "adj:sg:gen:m3:pos"
2770 "wyraz podejrzany - jest nam jednak >>zadane<< , wraz z poczuciem czasu " "ppas:sg:nom:n:perf:aff" "adj:sg:nom:n:pos" "adj:pl:nom:f:pos" "adj:sg:nom:n:pos" "adj:sg:nom:n:pos"
2772 "- jest nam jednak zadane , >>wraz<< z poczuciem czasu , wraz " "adv:pos,adv:com,adv:sup" "burk" "subst:sg:acc:m3" "subst:sg:nom:m3" "subst:sg:nom:m3"
2777 ", wraz z poczuciem czasu , >>wraz<< z naszym - górnolotnie mówiąc " "adv:pos,adv:com,adv:sup" "burk" "subst:sg:acc:m3" "subst:sg:nom:m3" "subst:sg:nom:m3"
2779 "z poczuciem czasu , wraz z >>naszym<< - górnolotnie mówiąc - człowieczeństwem " "adj:sg:inst:n:pos" "adj:sg:inst:m1:pos" "adj:sg:inst:m3:pos" "adj:sg:inst:m3:pos" "adj:sg:inst:m3:pos"
2838 "Dziesięć krótkich historii w obrazach &quot; >>Veronique<< Campan , czyli uniwersytecka analiza " "subst:sg:gen:f" "ign" "ign" "subst:sg:nom:m3" "subst:sg:nom:m1"
2839 "krótkich historii w obrazach &quot; Veronique >>Campan<< , czyli uniwersytecka analiza &quot; " "subst:sg:gen:f" "ign" "ign" "subst:sg:nom:m3" "subst:sg:nom:m1"
2862 "lat 80 . Dlatego należy słuchać >>go<< z uwagą i badać użyteczność " "ppron3:sg:gen:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m3:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m3:ter:nakc:npraep"
2876 "w dzisiejszym trudno zrozumiałym świecie . >>Znikły<< dotychczasowe &quot; tabu &quot; , " "praet:pl:n:perf:agl,praet:pl:n:perf:nagl" "praet:pl:m3:perf:nagl,praet:pl:m3:perf:agl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:m3:perf:nagl,praet:pl:m3:perf:agl" "praet:pl:m3:perf:nagl,praet:pl:m3:perf:agl"
2877 "dzisiejszym trudno zrozumiałym świecie . Znikły >>dotychczasowe<< &quot; tabu &quot; , ale " "adj:pl:nom:n:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:f:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos"
2879 "zrozumiałym świecie . Znikły dotychczasowe &quot; >>tabu<< &quot; , ale zamiast nich " "subst:pl:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
2884 "&quot; tabu &quot; , ale zamiast >>nich<< pojawiły się inne , najzupełniej " "ppron3:pl:gen:n:ter:akc:praep" "ppron3:pl:gen:m1:ter:akc:praep" "ppron3:pl:gen:f:ter:akc:praep" "ppron3:pl:gen:f:ter:akc:praep" "ppron3:pl:gen:f:ter:akc:praep"
2885 "tabu &quot; , ale zamiast nich >>pojawiły<< się inne , najzupełniej nie " "praet:pl:n:perf:agl,praet:pl:n:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl" "praet:pl:f:perf:agl,praet:pl:f:perf:nagl"
2887 ", ale zamiast nich pojawiły się >>inne<< , najzupełniej nie uświadamiane . " "adj:pl:nom:n:pos" "adj:pl:nom:f:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:m3:pos" "adj:pl:nom:f:pos"
2891 "pojawiły się inne , najzupełniej nie >>uświadamiane<< . Rzeczownik &quot; bedside &quot; " "ppas:pl:nom:n:imperf:aff" "ppas:pl:nom:m3:imperf:aff" "ppas:sg:nom:n:imperf:aff" "ppas:pl:nom:f:imperf:aff" "ppas:sg:nom:n:imperf:aff"
2895 "najzupełniej nie uświadamiane . Rzeczownik &quot; >>bedside<< &quot; bywa bowiem także członem " "xxx" "ign" "ign" "subst:sg:nom:m3" "subst:sg:nom:m3"
2904 "bowiem także członem zwrotu &quot; przy >>chorym<< &quot; , a więc zwrotu " "subst:sg:loc:m1" "adj:sg:loc:m3:pos" "adj:sg:loc:n:pos" "adj:sg:loc:m3:pos" "adj:sg:loc:m3:pos"
2911 "&quot; , a więc zwrotu zakładającego >>czuwanie<< , współ-czucie , współ-bycie z " "ger:sg:acc:n:imperf:aff" "subst:sg:acc:n" "subst:sg:acc:n" "subst:sg:acc:n" "subst:sg:acc:n"
2913 "a więc zwrotu zakładającego czuwanie , >>współ-czucie<< , współ-bycie z kimś cierpiącym " "ger:sg:acc:n:imperf:aff" "ign" "ign" "subst:sg:nom:n" "subst:pl:acc:n"
2915 "zwrotu zakładającego czuwanie , współ-czucie , >>współ-bycie<< z kimś cierpiącym . Trzymilionowe " "ger:sg:acc:n:imperf:aff" "ign" "ign" "subst:sg:nom:n" "subst:pl:acc:n"
2931 "centralnej Japonii ( tutaj znajduje się >>m.in<< . słynna fabryka samochodów Toyota " "brev:pun" "brev:npun" "brev:pun" "brev:pun" "brev:pun"
2943 ") posiada kilka uniwersytetów państwowych i >>kilkanaście<< prywatnych . Uniwersytet ten , " "num:pl:acc:m3:rec" "num:pl:nom:f:rec" "num:pl:nom:m3:rec" "num:pl:nom:f:rec" "num:pl:nom:f:rec"
2944 "posiada kilka uniwersytetów państwowych i kilkanaście >>prywatnych<< . Uniwersytet ten , założony " "adj:pl:gen:m3:pos" "adj:pl:gen:f:pos" "subst:pl:gen:m1" "adj:pl:gen:f:pos" "adj:pl:gen:f:pos"
2961 "prowadzony przez werbistów , nie posiada >>zbyt<< długiej tradycji akademickiej . Z " "qub:wok,qub:nwok" "adv:pos,adv:com,adv:sup" "adv:pos,adv:com,adv:sup" "adv:pos,adv:com,adv:sup" "adv:pos,adv:com,adv:sup"
3040 "religijnych katolików zarzuca Liga Polskich Rodzin >>telewizji<< TVN . Roślinę przypominającą konopie " "subst:sg:dat:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f"
3041 "katolików zarzuca Liga Polskich Rodzin telewizji >>TVN<< . Roślinę przypominającą konopie indyjskie " "subst:sg:nom:m3" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f" "subst:sg:gen:f"
3072 "by bardzo źle gdyby polski parlament >>to<< weto odrzucił – to prawda " "adj:sg:acc:n:pos" "qub:wok,qub:nwok" "pred" "pred" "conj"
3073 "bardzo źle gdyby polski parlament to >>weto<< odrzucił – to prawda – " "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
3126 "pielęgnacja nie da tego efektu , >>co<< rozpoczęta we właściwym czasie i " "comp" "subst:sg:acc:n" "comp" "subst:sg:nom:n" "subst:sg:nom:n"
3141 "zgodnie z założeniami . Obaj uznali >>je<< za wspaniałą lekcję historii . " "ppron3:pl:acc:n:ter:akc:npraep" "ppron3:pl:acc:m3:ter:akc:npraep" "ppron3:pl:acc:m3:ter:akc:npraep" "ppron3:pl:acc:f:ter:akc:npraep" "ppron3:pl:acc:m2:ter:akc:npraep"
3176 "Zakładana nadwyżka dochodów ( ok . >>1,2<< mln zł ) przewidziana była " "num:pl:nom:m3:rec" "ign" "ign" "adj:sg:nom:m3:pos" "adj:sg:gen:m3:pos"
3189 "spłatę kredytów długoterminowych . to tylko >>to<< nie będzie jakiś taki wiesz " "pred" "qub:wok,qub:nwok" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
3238 "moją ciekawość . Jaka panuje w >>nim<< hierarchia ? Czytał eś ją " "ppron3:sg:loc:n:ter:akc:praep" "ppron3:sg:loc:m3:ter:akc:praep" "ppron3:sg:loc:m3:ter:akc:praep" "ppron3:sg:loc:m3:ter:akc:praep" "ppron3:sg:loc:m3:ter:akc:praep"
3258 "słusznej prasie typu NASZA POLSKA , >>GP<< itp . ? Piszę pracę " "subst:sg:nom:f" "ign" "ign" "subst:sg:nom:m1" "subst:sg:nom:m3"
3304 "panu kapitanowi ? Wyciągnął z paczki >>chesterfielda<< , zapominają o dobrych manierach " "subst:sg:acc:m2" "ign" "ign" "subst:sg:gen:f" "subst:sg:gen:m1"
